GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,Tm
76,ALL,4.7,2.4,0.8,0.5,0.2,0.5,Christian Braun,DEN
37,Road,5,2.5,0.8,0.7,0.2,0.5,Christian Braun,
39,Home,4.5,2.2,0.7,0.4,0.2,0.4,Christian Braun,
58,ALL,3.1,2.9,0.5,0.4,1,0.3,Christian Koloko,TOR
26,Road,2.4,2.8,0.4,0.2,0.9,0.4,Christian Koloko,
32,Home,3.7,3.1,0.6,0.5,1.1,0.3,Christian Koloko,
67,ALL,16.6,7.3,1.8,0.4,1.1,1.8,Christian Wood,DAL
34,Road,16.6,7.5,2.1,0.5,1.2,1.9,Christian Wood,
33,Home,16.6,7.2,1.5,0.4,1,1.7,Christian Wood,
13,Road,3.5,3.2,1.5,0.7,0.2,0.8,Chuma Okeke,
14,Home,5.9,3.9,1.3,0.7,0.6,0.5,Chuma Okeke,
27,ALL,4.7,3.6,1.4,0.7,0.4,0.6,Chuma Okeke,ORL
35,Home,11.6,11.7,0.8,0.7,1.6,0.8,Clint Capela,
65,ALL,12,11,0.9,0.7,1.2,0.8,Clint Capela,ATL
30,Road,12.4,10.3,1,0.6,0.8,0.9,Clint Capela,
74,ALL,9.7,2.9,2.8,0.7,0.1,1,Coby White,CHI
37,Road,9.9,3,2.8,0.7,0,1.1,Coby White,
37,Home,9.5,2.8,2.7,0.8,0.1,0.9,Coby White,
5,Road,4.6,3,1.8,0.6,0.2,0.2,Cody Martin,
7,ALL,5,3.4,1.6,0.6,0.1,0.3,Cody Martin,CHO
2,Home,6,4.5,1,0.5,0,0.5,Cody Martin,
8,Home,6.5,4.6,0.6,0.2,0.1,0.8,Cody Zeller,
15,ALL,6.5,4.3,0.7,0.2,0.3,0.9,Cody Zeller,MIA
7,Road,6.6,3.9,0.7,0.1,0.4,1.1,Cody Zeller,
29,Home,13.3,4.7,4.2,0.6,0.4,1.5,Cole Anthony,
31,Road,12.7,4.9,3.6,0.6,0.6,1.5,Cole Anthony,
60,ALL,13,4.8,3.9,0.6,0.5,1.5,Cole Anthony,ORL
7,ALL,1.3,1,0.6,0,0,0,Cole Swider,LAL
2,Road,3,3,2,0,0,0,Cole Swider,
5,Home,0.6,0.2,0,0,0,0,Cole Swider,
23,Road,13.6,2.4,3,0.8,0.1,1.7,Collin Sexton,
25,Home,14.9,2,2.8,0.3,0.1,1.9,Collin Sexton,
48,ALL,14.3,2.2,2.9,0.6,0.1,1.8,Collin Sexton,UTA
37,Road,10.9,2.9,1.1,0.5,0.1,0.8,Corey Kispert,
37,Home,11.3,2.7,1.3,0.4,0.1,0.7,Corey Kispert,
74,ALL,11.1,2.8,1.2,0.4,0.1,0.7,Corey Kispert,WAS
33,Road,6.3,1.7,3.7,0.5,0.2,1.1,Cory Joseph,
29,Home,7.6,1.7,3.2,0.6,0.1,0.7,Cory Joseph,
62,ALL,6.9,1.7,3.5,0.5,0.1,0.9,Cory Joseph,DET
31,Road,16.7,3,6.2,0.9,0.3,2.6,D'Angelo Russell,
40,Home,18.6,3,6.1,1,0.5,2.6,D'Angelo Russell,
71,ALL,17.8,3,6.2,1,0.4,2.6,D'Angelo Russell,TOT
45,ALL,4.6,1.2,0.5,0.2,0.2,0.2,Davis Bertans,DAL
57,ALL,4,1.7,2.3,0.5,0.1,1.5,Daishen Nix,HOU
33,Road,4.1,1.7,2.2,0.5,0.1,1.5,Daishen Nix,
24,Home,3.8,1.7,2.4,0.5,0.1,1.5,Daishen Nix,
31,ALL,4.6,1.5,1.2,0.4,0.4,0.6,Dalano Banton,TOR
17,Road,5.2,1.4,1.1,0.5,0.5,0.5,Dalano Banton,
14,Home,3.9,1.5,1.3,0.3,0.4,0.6,Dalano Banton,
13,Road,2.2,1.2,0.6,0.3,0.2,0.4,Dalen Terry,
25,Home,2.2,0.8,0.6,0.3,0.1,0.1,Dalen Terry,
38,ALL,2.2,1,0.6,0.3,0.1,0.2,Dalen Terry,CHI
22,Road,4,3.6,0.4,0.1,0.7,0.7,Damian Jones,
19,Home,2.9,2.3,0.3,0.3,0.3,0.4,Damian Jones,
41,ALL,3.5,3,0.4,0.2,0.5,0.6,Damian Jones,TOT
58,ALL,32.2,4.8,7.3,0.9,0.3,3.3,Damian Lillard,POR
32,Home,34,4.6,7.1,0.9,0.4,3.2,Damian Lillard,
26,Road,29.9,5,7.6,0.8,0.2,3.3,Damian Lillard,
38,Road,8.6,3.2,1.6,0.5,0.1,1.2,Damion Lee,
74,ALL,8.2,3,1.3,0.4,0.1,1.1,Damion Lee,PHO
