GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,period
61,2022-23,2.2,0.8,0.4,0.1,0.0,0.3,Malaki Branham,3
63,2022-23,2.8,0.5,0.5,0.1,0.0,0.3,Malaki Branham,4
76,2022-23,4.7,2.4,0.8,0.5,0.2,0.5,Christian Braun,0
52,2022-23,1.1,0.7,0.3,0.3,0.0,0.2,Christian Braun,1
51,2022-23,1.3,0.9,0.2,0.1,0.1,0.2,Christian Braun,2
55,2022-23,1.9,0.7,0.2,0.1,0.1,0.1,Christian Braun,3
64,2022-23,2.0,1.0,0.3,0.2,0.1,0.1,Christian Braun,4
83,2022-23,20.1,4.4,3.3,1.1,0.7,1.5,Mikal Bridges,0
83,2022-23,6.2,1.4,1.0,0.4,0.2,0.4,Mikal Bridges,1
81,2022-23,4.6,0.9,0.9,0.2,0.2,0.3,Mikal Bridges,2
81,2022-23,6.0,1.2,0.9,0.3,0.2,0.5,Mikal Bridges,3
68,2022-23,4.3,1.1,0.6,0.3,0.2,0.4,Mikal Bridges,4
65,2022-23,6.1,3.4,0.7,0.5,0.2,0.5,Oshae Brissett,0
56,2022-23,1.1,0.6,0.2,0.0,0.1,0.1,Oshae Brissett,1
60,2022-23,2.6,1.2,0.4,0.2,0.0,0.2,Oshae Brissett,2
39,2022-23,1.1,0.6,0.1,0.1,0.1,0.1,Oshae Brissett,3
52,2022-23,2.7,1.7,0.2,0.3,0.1,0.2,Oshae Brissett,4
67,2022-23,14.9,4.2,3.7,0.7,0.3,1.5,Malcolm Brogdon,0
67,2022-23,3.6,0.8,0.7,0.1,0.1,0.3,Malcolm Brogdon,1
67,2022-23,4.6,1.3,1.3,0.1,0.1,0.4,Malcolm Brogdon,2
66,2022-23,3.5,1.0,0.9,0.1,0.1,0.4,Malcolm Brogdon,3
64,2022-23,3.3,1.1,0.9,0.2,0.1,0.4,Malcolm Brogdon,4
73,2022-23,14.3,3.3,2.6,0.9,0.2,1.4,Dillon Brooks,0
73,2022-23,4.9,1.0,0.8,0.4,0.1,0.4,Dillon Brooks,1
73,2022-23,2.6,0.7,0.6,0.2,0.1,0.4,Dillon Brooks,2
73,2022-23,4.5,0.9,0.8,0.2,0.0,0.3,Dillon Brooks,3
64,2022-23,2.6,0.9,0.5,0.1,0.0,0.4,Dillon Brooks,4
80,2022-23,11.5,4.1,3.4,1.1,0.6,1.5,Bruce Brown,0
80,2022-23,2.8,0.8,0.8,0.2,0.1,0.3,Bruce Brown,1
80,2022-23,3.1,1.0,0.9,0.3,0.2,0.3,Bruce Brown,2
79,2022-23,3.1,1.1,0.9,0.4,0.2,0.4,Bruce Brown,3
76,2022-23,2.6,1.2,0.7,0.2,0.2,0.5,Bruce Brown,4
67,2022-23,26.6,6.9,3.5,1.1,0.4,2.9,Jaylen Brown,0
67,2022-23,7.4,1.8,1.1,0.3,0.1,0.8,Jaylen Brown,1
67,2022-23,6.3,1.7,0.7,0.2,0.1,0.7,Jaylen Brown,2
66,2022-23,6.3,1.8,0.8,0.2,0.1,0.8,Jaylen Brown,3
62,2022-23,6.6,1.5,0.8,0.4,0.1,0.7,Jaylen Brown,4
6,2022-23,1.5,1.0,0.5,0.7,0.0,0.3,Kendall Brown,0
2,2022-23,1.0,1.0,0.5,0.5,0.0,0.5,Kendall Brown,1
2,2022-23,0.0,0.5,0.0,0.0,0.0,0.5,Kendall Brown,2
1,2022-23,1.0,2.0,1.0,0.0,0.0,0.0,Kendall Brown,3
4,2022-23,1.5,0.2,0.2,0.8,0.0,0.0,Kendall Brown,4
36,2022-23,4.3,3.9,0.1,0.1,0.4,0.4,Moses Brown,0
