Unnamed: 0,GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,Tm,PLAYER_ID,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
407,1,ALL,0.0,2.0,1.0,0.0,0.0,0.0,Frank Jackson,UTA,1628402.0,-22.2,0.125,0.333,0.25,0.0,0.25
408,36,ALL,2.5,1.4,0.9,0.2,0.1,0.3,Frank Kaminsky,TOT,1626163.0,-1.9,0.029,0.207,0.146,0.635,0.194
409,47,ALL,2.9,1.3,1.2,0.3,0.1,0.6,Frank Ntilikina,DAL,1628373.0,5.1,0.011,0.086,0.125,0.461,0.127
410,22,Home,2.8,1.0,1.2,0.4,0.2,0.5,Frank Ntilikina,,1628373.0,11.3,0.01,0.063,0.112,0.473,0.113
411,25,Road,3.0,1.6,1.3,0.3,0.1,0.8,Frank Ntilikina,,1628373.0,-0.6,0.012,0.109,0.136,0.451,0.142
414,80,ALL,18.6,4.1,3.5,1.0,0.2,2.1,Franz Wagner,ORL,1630532.0,1.2,0.027,0.098,0.23,0.589,0.167
412,39,Home,19.8,4.2,4.2,0.9,0.2,1.9,Franz Wagner,,1630532.0,3.2,0.021,0.103,0.228,0.618,0.192
413,41,Road,17.4,4.1,2.9,1.0,0.2,2.3,Franz Wagner,,1630532.0,-0.8,0.032,0.093,0.231,0.561,0.142
416,69,ALL,19.3,4.1,7.2,1.8,0.6,2.0,Fred VanVleet,TOR,1627832.0,3.3,0.011,0.11,0.225,0.54,0.276
417,34,Home,19.9,4.1,6.8,1.7,0.4,2.0,Fred VanVleet,,1627832.0,7.3,0.008,0.115,0.233,0.542,0.267
415,35,Road,18.8,4.0,7.5,1.8,0.7,2.0,Fred VanVleet,,1627832.0,-0.5,0.013,0.105,0.218,0.538,0.285
420,37,ALL,3.8,1.1,0.6,0.3,0.1,0.6,Furkan Korkmaz,PHI,1627788.0,1.4,0.017,0.099,0.176,0.552,0.091
418,14,Home,3.3,1.4,0.6,0.3,0.1,0.5,Furkan Korkmaz,,1627788.0,-6.4,0.025,0.136,0.209,0.436,0.108
419,23,Road,4.1,1.0,0.6,0.3,0.1,0.7,Furkan Korkmaz,,1627788.0,5.5,0.013,0.082,0.16,0.634,0.081
423,68,ALL,9.4,2.1,2.5,0.9,0.1,1.4,Gabe Vincent,MIA,1629216.0,-0.7,0.016,0.071,0.17,0.533,0.139
