,GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,period,PLAYER_ID,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
1132,74,2022-23,2.2,0.6,1.3,0.3,0,0.4,Andrew Nembhard,1,1629614,-10.1,0.013,0.081,0.151,0.533,0.247
1133,75,2022-23,2.5,0.7,1,0.2,0.1,0.3,Andrew Nembhard,2,1629614,3.5,0.021,0.083,0.155,0.543,0.196
1134,73,2022-23,2.5,0.7,1.3,0.2,0,0.4,Andrew Nembhard,3,1629614,-11.8,0.019,0.072,0.155,0.522,0.214
1135,68,2022-23,2.4,0.7,1.1,0.2,0.1,0.6,Andrew Nembhard,4,1629614,-4.9,0.012,0.081,0.177,0.512,0.241
1136,73,2022-23,2.8,1.1,0.3,0.1,0.1,0.3,Aaron Nesmith,1,1630174,-8.4,0.038,0.131,0.184,0.521,0.066
1137,72,2022-23,2.4,0.7,0.3,0.2,0.1,0.3,Aaron Nesmith,2,1630174,7.9,0.028,0.096,0.166,0.587,0.066
1138,73,2022-23,2.8,1.1,0.4,0.2,0.1,0.3,Aaron Nesmith,3,1630174,-10.6,0.032,0.132,0.175,0.552,0.078
1139,62,2022-23,2.6,0.9,0.4,0.2,0.2,0.1,Aaron Nesmith,4,1630174,-6.4,0.032,0.109,0.141,0.629,0.09
1140,78,2022-23,1.5,0.5,0.2,0.1,0,0.1,Georges Niang,1,1627777,-1,0.013,0.095,0.136,0.621,0.082
1141,76,2022-23,1.9,0.7,0.3,0.1,0,0.2,Georges Niang,2,1627777,0.2,0.018,0.132,0.165,0.533,0.071
1142,76,2022-23,2.3,0.5,0.2,0.1,0.1,0.1,Georges Niang,3,1627777,-0.9,0.009,0.1,0.175,0.644,0.059
1143,73,2022-23,2.6,0.7,0.3,0.1,0.1,0.2,Georges Niang,4,1627777,5.8,0.012,0.109,0.167,0.626,0.083
1144,43,2022-23,1.1,0.4,0.6,0.1,0,0.4,Daishen Nix,1,1630227,-15.5,0.011,0.094,0.148,0.464,0.174
1145,48,2022-23,1,0.5,0.9,0.2,0,0.4,Daishen Nix,2,1630227,-9.5,0.017,0.087,0.143,0.33,0.206
1146,38,2022-23,1.2,0.5,0.7,0.1,0.1,0.4,Daishen Nix,3,1630227,-6.4,0.015,0.089,0.154,0.441,0.202
1147,48,2022-23,1.7,0.8,0.9,0.2,0,0.7,Daishen Nix,4,1630227,-2.2,0.027,0.096,0.151,0.552,0.184
1148,39,2022-23,0.8,0.6,0.1,0.1,0.1,0.1,Zeke Nnaji,1,1630192,-6.7,0.053,0.103,0.118,0.506,0.033
1149,40,2022-23,2.4,1.2,0.2,0.1,0.2,0.1,Zeke Nnaji,2,1630192,-2.8,0.128,0.096,0.164,0.661,0.053
1150,35,2022-23,1.2,0.5,0.1,0.1,0.2,0.1,Zeke Nnaji,3,1630192,1.7,0.072,0.063,0.117,0.594,0.022
1151,49,2022-23,2.2,1,0.1,0.1,0.1,0.3,Zeke Nnaji,4,1630192,-11.8,0.081,0.118,0.173,0.641,0.044
1152,28,2022-23,1.1,0.2,0.5,0.1,0.1,0.2,Frank Ntilikina,1,1628373,-13,0,0.048,0.134,0.49,0.197
1153,35,2022-23,1.3,0.7,0.4,0.1,0,0.2,Frank Ntilikina,2,1628373,6.5,0.005,0.119,0.137,0.469,0.102
1154,31,2022-23,0.6,0.4,0.5,0.1,0.1,0.3,Frank Ntilikina,3,1628373,9.6,0.034,0.061,0.12,0.369,0.16
1155,37,2022-23,1,0.6,0.4,0.1,0.1,0.2,Frank Ntilikina,4,1628373,13.2,0.011,0.094,0.11,0.482,0.094
1156,52,2022-23,4.1,2.3,0.9,0.2,0.2,0.4,Jusuf Nurkic,1,203994,-4,0.075,0.281,0.253,0.581,0.199
1157,51,2022-23,3.4,2.3,0.8,0.4,0.3,0.7,Jusuf Nurkic,2,203994,11.1,0.067,0.237,0.192,0.631,0.152
1158,51,2022-23,3.1,2.4,0.7,0.2,0.2,0.6,Jusuf Nurkic,3,203994,-6.8,0.079,0.293,0.216,0.571,0.159
1159,45,2022-23,3.2,2.4,0.6,0.1,0.2,0.6,Jusuf Nurkic,4,203994,-1.8,0.116,0.229,0.211,0.558,0.13
1160,54,2022-23,2.6,1.1,0.3,0.1,0,0.2,Jordan Nwora,1,1629670,-4,0.043,0.157,0.183,0.595,0.088
1161,52,2022-23,2.6,1.2,0.6,0.1,0.1,0.3,Jordan Nwora,2,1629670,-7.9,0.042,0.145,0.182,0.534,0.126
1162,49,2022-23,2.5,1.1,0.5,0.1,0.1,0.3,Jordan Nwora,3,1629670,-14.7,0.037,0.158,0.183,0.575,0.119
1163,54,2022-23,2.7,1,0.3,0.1,0.1,0.4,Jordan Nwora,4,1629670,-14.3,0.04,0.13,0.198,0.547,0.091
1164,74,2022-23,3.1,1.1,0.9,0.2,0.1,0.3,Royce O'Neale,1,1626220,4.4,0.015,0.128,0.171,0.586,0.149
1165,76,2022-23,2.3,1.4,1,0.2,0.1,0.5,Royce O'Neale,2,1626220,1.1,0.025,0.158,0.14,0.581,0.167
1166,76,2022-23,2,1.1,1,0.2,0.3,0.3,Royce O'Neale,3,1626220,0,0.023,0.11,0.132,0.501,0.164
1167,71,2022-23,1.6,1.4,1,0.3,0.2,0.4,Royce O'Neale,4,1626220,3,0.035,0.122,0.105,0.471,0.142
1168,21,2022-23,1.5,1.5,0.5,0.3,0.2,0.3,Chuma Okeke,1,1629643,-7.8,0.057,0.161,0.105,0.541,0.095
1169,23,2022-23,1,0.9,0.5,0.2,0,0.2,Chuma Okeke,2,1629643,-19.7,0.048,0.109,0.122,0.351,0.109
1170,20,2022-23,1.5,1.3,0.4,0.2,0.2,0.2,Chuma Okeke,3,1629643,-12.1,0.04,0.159,0.141,0.437,0.099
1171,21,2022-23,2,0.9,0.4,0.2,0.1,0.1,Chuma Okeke,4,1629643,-4.5,0.049,0.094,0.117,0.608,0.103
1172,55,2022-23,2.1,0.8,0.4,0.2,0.1,0.2,Josh Okogie,1,1629006,7,0.064,0.082,0.171,0.567,0.088
1173,65,2022-23,2.6,1.2,0.6,0.3,0.1,0.2,Josh Okogie,2,1629006,9,0.066,0.112,0.171,0.567,0.126
1174,51,2022-23,2.1,1.1,0.5,0.2,0.2,0.3,Josh Okogie,3,1629006,0.6,0.079,0.1,0.164,0.481,0.105
1175,56,2022-23,2.4,1.4,0.4,0.3,0.2,0.4,Josh Okogie,4,1629006,2.6,0.101,0.109,0.19,0.503,0.092
1176,80,2022-23,1.8,1.6,0.2,0.2,0.3,0.2,Onyeka Okongwu,1,1630168,7.8,0.077,0.217,0.119,0.674,0.04
1177,80,2022-23,3.3,1.9,0.4,0.2,0.3,0.3,Onyeka Okongwu,2,1630168,0.7,0.117,0.184,0.173,0.688,0.08
1178,80,2022-23,2.2,1.7,0.2,0.2,0.3,0.3,Onyeka Okongwu,3,1630168,0.1,0.136,0.184,0.154,0.675,0.06
1179,77,2022-23,2.6,2,0.2,0.1,0.4,0.2,Onyeka Okongwu,4,1630168,-1,0.134,0.18,0.15,0.678,0.058
1180,67,2022-23,2,0.8,0.4,0.2,0.1,0.2,Isaac Okoro,1,1630171,1,0.035,0.095,0.12,0.604,0.081
1181,73,2022-23,1.6,0.6,0.3,0.2,0.1,0.1,Isaac Okoro,2,1630171,10.6,0.024,0.073,0.108,0.578,0.065
1182,69,2022-23,2.1,0.7,0.4,0.3,0.1,0.1,Isaac Okoro,3,1630171,4.1,0.044,0.071,0.126,0.658,0.076
1183,60,2022-23,1.5,0.8,0.2,0.2,0.2,0.2,Isaac Okoro,4,1630171,6.7,0.029,0.105,0.113,0.609,0.05
1184,41,2022-23,2.3,0.4,0.6,0.3,0,0.6,Victor Oladipo,1,203506,-14.2,0.012,0.065,0.209,0.501,0.175
1185,42,2022-23,2.6,1,1.1,0.4,0.1,0.6,Victor Oladipo,2,203506,3.8,0.016,0.122,0.172,0.565,0.227
1186,42,2022-23,2.1,0.7,0.8,0.1,0,0.4,Victor Oladipo,3,203506,-12.5,0.013,0.126,0.212,0.471,0.229
1187,41,2022-23,3.8,1,1,0.6,0.1,0.5,Victor Oladipo,4,203506,9.9,0.015,0.116,0.224,0.512,0.19
1188,68,2022-23,2.9,1.8,1.1,0.2,0.1,0.9,Kelly Olynyk,1,203482,-3.6,0.032,0.177,0.182,0.583,0.186
1189,68,2022-23,3.2,1.5,0.9,0.3,0.1,0.7,Kelly Olynyk,2,203482,2.2,0.043,0.167,0.191,0.617,0.173
1190,68,2022-23,3.4,1.4,1.1,0.2,0.3,0.4,Kelly Olynyk,3,203482,5.7,0.039,0.152,0.158,0.707,0.184
